profile_num,profile_label,scenario,quarter,E_L,P99_L,P99_E_ratio,var_tau,h_bar,follow_rate,p0_eff_mean
6,agence_creative,baseline,12,787.15,1069.06,1.3581401257701835,0.05769153154403213,0.5990410935279639,0.0,0.0
6,agence_creative,baseline,13,812.915,1093.2299999999998,1.344826949927114,0.0573177822173095,0.598980651677783,0.0,0.0
6,agence_creative,baseline,14,800.255,1080.2099999999998,1.3498322409731895,0.056995530287019563,0.5991063932816109,0.0,0.0
6,agence_creative,baseline,15,799.105,1082.5799999999995,1.3547406160642212,0.05656366334062108,0.598757140581162,0.0,0.0
6,agence_creative,baseline,16,803.755,1082.04,1.346231127644618,0.05624460271752906,0.5987546238583211,0.0,0.0
6,agence_creative,baseline,17,811.59,1230.2299999999998,1.5158269569610268,0.05585607812346735,0.5989925672082268,0.0,0.0
6,agence_creative,baseline,18,796.005,1043.05,1.3103560907280734,0.05572568126086929,0.5988273538993079,0.0,0.0
6,agence_creative,baseline,19,793.385,1064.1499999999999,1.341278194067193,0.055550570713521825,0.5989856353820724,0.0,0.0
6,agence_creative,baseline,20,792.87,1069.1799999999998,1.3484934478539985,0.05537617498579181,0.5989211954971082,0.0,0.0
6,agence_creative,G0,1,471.54,1046.5899999999986,2.219514781354707,0.06188548787756076,0.5957152736862177,0.614265,0.7429496581877083
6,agence_creative,G0,2,465.415,956.8299999999992,2.055864121268114,0.06073918686598725,0.5920221283478415,0.6226375000000001,0.7484519030432614
6,agence_creative,G0,3,453.49,956.4099999999987,2.1089990959006784,0.05949875408662139,0.5883609514203212,0.6310800000000001,0.7544059803842174
6,agence_creative,G0,4,457.64,1197.3499999999997,2.616357835853509,0.05810225659303035,0.5850907422542216,0.64028,0.7611091683534545
6,agence_creative,G0,5,461.97,1109.7299999999993,2.402168972011168,0.05684123227187303,0.5818866309372392,0.6468975,0.7671620850950095
6,agence_creative,G0,6,484.24,1140.2299999999998,2.3546794977697005,0.05554453014841858,0.57893383598999,0.6546375000000001,0.773386255287591
6,agence_creative,G0,7,455.09,1141.2399999999998,2.507723746951152,0.05427955343264399,0.5757904279588648,0.6621775,0.779458143523309
6,agence_creative,G0,8,436.72,1157.2899999999997,2.64995878366001,0.05311912704879723,0.5729446465295954,0.6686525,0.7850281901657733
6,agence_creative,G0,9,456.51,1205.1999999999998,2.6400297912422506,0.051935190438072334,0.5699785051782993,0.6777175,0.7907110858972528
6,agence_creative,G0,10,411.125,1023.6399999999994,2.4898510185466693,0.05075937431703983,0.567446152734075,0.6846274999999999,0.796355003278209
6,agence_creative,G0,11,421.96,1062.5699999999995,2.5181770783960555,0.049737486023543775,0.5649235530010364,0.6905074999999999,0.8012600670869899
6,agence_creative,G0,12,407.93,1118.159999999999,2.7410585149412863,0.04855588061641791,0.5621798354158334,0.6977475000000001,0.8069317730411941
6,agence_creative,G0,13,426.295,1106.3399999999988,2.595245076766086,0.04740493458884343,0.5596127228282354,0.7045725000000002,0.8124563139735517
6,agence_creative,G0,14,399.055,1227.989999999999,3.077244991291925,0.046322591343222363,0.5572842926853406,0.7131649999999999,0.8176515615525326
6,agence_creative,G0,15,404.71,1231.02,3.041733587012923,0.045268496072296764,0.5549460322046638,0.7189725,0.8227112188529756
6,agence_creative,G0,16,415.175,1115.02,2.685662672367074,0.04419233794421504,0.5528766296350132,0.7260575,0.8278767778677678
6,agence_creative,G0,17,381.385,945.3999999999978,2.4788599446753223,0.04314682537755349,0.5508600413691146,0.7329574999999999,0.8328952381877435
6,agence_creative,G0,18,376.605,1336.6499999999994,3.549209383837175,0.04226511940995151,0.5487731511059986,0.7365349999999999,0.8371274268322328
6,agence_creative,G0,19,391.26,1099.3699999999997,2.8098195573276072,0.041245616122892646,0.5470192042223446,0.7424425000000001,0.8420210426101152
6,agence_creative,G0,20,389.24,1285.6999999999994,3.303103483711847,0.04032527718901306,0.5452590217138971,0.7487699999999999,0.8464386694927373
6,agence_creative,G1,1,523.445,1004.3899999999987,1.9188071335097263,0.061990415405714046,0.5962642164477342,0.5208675,0.6496402552960009
6,agence_creative,G1,2,515.975,943.7799999999993,1.8291196278889466,0.0609979148323049,0.5930620915562556,0.5283325,0.6538087577043195
6,agence_creative,G1,3,510.8,954.5299999999995,1.868696162881753,0.05991681727731455,0.5900428619924881,0.53425,0.6583493674352789
6,agence_creative,G1,4,513.1,1150.0,2.241278503215747,0.05869928194192129,0.5873112699001125,0.54192,0.6634630158439304
6,agence_creative,G1,5,516.665,1095.3699999999997,2.120077806702602,0.057578059643423024,0.5845365012747643,0.545985,0.6681721494976233
6,agence_creative,G1,6,536.795,1081.2899999999997,2.0143443959053267,0.05646829745694738,0.5820092544627019,0.5523775,0.6728331506808211
6,agence_creative,G1,7,512.455,1086.2699999999998,2.1197373427910735,0.055327779743794825,0.5794397453178881,0.5586525,0.6776233250760617
6,agence_creative,G1,8,499.95,1090.7699999999993,2.1817581758175804,0.054251916988315066,0.576905902196801,0.5637,0.6821419486490768
6,agence_creative,G1,9,515.655,1172.09,2.273011994453656,0.0531729958119352,0.5743540253221647,0.5719074999999999,0.6866734175898721
6,agence_creative,G1,10,477.195,992.7399999999993,2.0803654690430524,0.052098452777207205,0.5722467609330912,0.5765275,0.6911864983357296
6,agence_creative,G1,11,487.66,1064.3099999999997,2.1824836976582036,0.05111602395937418,0.5700252681172246,0.5835349999999999,0.6953126993706285
6,agence_creative,G1,12,474.98,1099.2799999999988,2.314371131416057,0.050079621383374205,0.5676749178334722,0.588755,0.6996655901898283
6,agence_creative,G1,13,490.98,1099.5599999999995,2.239520958083831,0.04904376400886624,0.5654994279157229,0.5934349999999999,0.7040161911627618
6,agence_creative,G1,14,472.13,1177.4799999999996,2.493974117298201,0.04809453677560599,0.563352801343512,0.600455,0.7080029455424548
6,agence_creative,G1,15,476.41,1120.2599999999998,2.35146197602905,0.047123941147136555,0.5614439173186477,0.6045725000000001,0.7120794471820264
6,agence_creative,G1,16,485.825,1061.2999999999997,2.1845314670920595,0.046206458012336776,0.5596287139455003,0.61063,0.7159328763481855
6,agence_creative,G1,17,452.145,925.209999999998,2.0462683431200124,0.045242055731901785,0.5579584156490085,0.6164850000000001,0.7199833659260125
6,agence_creative,G1,18,449.26,1269.8199999999993,2.8264701954324876,0.0444014745034334,0.5561273367854938,0.6194,0.7235138070855797
6,agence_creative,G1,19,466.89,1076.2899999999997,2.3052324958769725,0.043487281001825584,0.5545217999206052,0.624805,0.7273534197923326
6,agence_creative,G1,20,462.44,1203.109999999999,2.6016564311045736,0.04267731440246543,0.5530507043940215,0.62846,0.7307552795096453
6,agence_creative,G2,1,600.88,940.7999999999993,1.5657036346691506,0.06216109808594416,0.5982425901306461,0.3810025,0.5098683763163844
6,agence_creative,G2,2,592.27,982.2899999999997,1.6585172303172535,0.061480738296394416,0.5969849268580373,0.385535,0.5121135636218984
6,agence_creative,G2,3,590.935,896.2999999999997,1.5167488810106016,0.06071367187094014,0.595827188849637,0.3888175,0.5146448828258976
