profile_num,profile_label,scenario,L
1,bigfour_continental,baseline,376
1,bigfour_continental,baseline,738
1,bigfour_continental,baseline,493
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,738
1,bigfour_continental,baseline,587
1,bigfour_continental,baseline,445
1,bigfour_continental,baseline,731
1,bigfour_continental,baseline,416
1,bigfour_continental,baseline,452
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,535
1,bigfour_continental,baseline,611
1,bigfour_continental,baseline,578
1,bigfour_continental,baseline,612
1,bigfour_continental,baseline,651
1,bigfour_continental,baseline,548
1,bigfour_continental,baseline,661
1,bigfour_continental,baseline,756
1,bigfour_continental,baseline,644
1,bigfour_continental,baseline,604
1,bigfour_continental,baseline,682
1,bigfour_continental,baseline,697
1,bigfour_continental,baseline,578
1,bigfour_continental,baseline,585
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,314
1,bigfour_continental,baseline,706
1,bigfour_continental,baseline,652
1,bigfour_continental,baseline,432
1,bigfour_continental,baseline,561
1,bigfour_continental,baseline,690
1,bigfour_continental,baseline,543
1,bigfour_continental,baseline,533
1,bigfour_continental,baseline,662
1,bigfour_continental,baseline,484
1,bigfour_continental,baseline,476
1,bigfour_continental,baseline,542
1,bigfour_continental,baseline,464
1,bigfour_continental,baseline,718
1,bigfour_continental,baseline,597
1,bigfour_continental,baseline,661
1,bigfour_continental,baseline,705
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,699
1,bigfour_continental,baseline,583
1,bigfour_continental,baseline,618
1,bigfour_continental,baseline,435
1,bigfour_continental,baseline,598
1,bigfour_continental,baseline,473
1,bigfour_continental,baseline,385
1,bigfour_continental,baseline,610
1,bigfour_continental,baseline,673
1,bigfour_continental,baseline,597
1,bigfour_continental,baseline,635
1,bigfour_continental,baseline,795
1,bigfour_continental,baseline,490
1,bigfour_continental,baseline,505
1,bigfour_continental,baseline,987
1,bigfour_continental,baseline,726
1,bigfour_continental,baseline,639
1,bigfour_continental,baseline,453
1,bigfour_continental,baseline,336
1,bigfour_continental,baseline,432
1,bigfour_continental,baseline,654
1,bigfour_continental,baseline,673
1,bigfour_continental,baseline,608
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,793
1,bigfour_continental,baseline,511
1,bigfour_continental,baseline,473
1,bigfour_continental,baseline,742
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,706
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,510
1,bigfour_continental,baseline,620
1,bigfour_continental,baseline,521
1,bigfour_continental,baseline,670
1,bigfour_continental,baseline,799
1,bigfour_continental,baseline,569
1,bigfour_continental,baseline,573
1,bigfour_continental,baseline,431
1,bigfour_continental,baseline,550
1,bigfour_continental,baseline,563
1,bigfour_continental,baseline,815
1,bigfour_continental,baseline,669
1,bigfour_continental,baseline,632
1,bigfour_continental,baseline,312
1,bigfour_continental,baseline,770
1,bigfour_continental,baseline,762
1,bigfour_continental,baseline,670
1,bigfour_continental,baseline,715
1,bigfour_continental,baseline,480
1,bigfour_continental,baseline,564
1,bigfour_continental,baseline,672
1,bigfour_continental,baseline,646
1,bigfour_continental,baseline,663
1,bigfour_continental,baseline,519
1,bigfour_continental,baseline,431
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,662
1,bigfour_continental,baseline,644
1,bigfour_continental,baseline,785
1,bigfour_continental,baseline,571
1,bigfour_continental,baseline,716
1,bigfour_continental,baseline,390
1,bigfour_continental,baseline,789
1,bigfour_continental,baseline,649
1,bigfour_continental,baseline,290
1,bigfour_continental,baseline,287
1,bigfour_continental,baseline,439
1,bigfour_continental,baseline,538
1,bigfour_continental,baseline,483
1,bigfour_continental,baseline,727
1,bigfour_continental,baseline,541
1,bigfour_continental,baseline,445
1,bigfour_continental,baseline,582
1,bigfour_continental,baseline,701
1,bigfour_continental,baseline,675
1,bigfour_continental,baseline,973
1,bigfour_continental,baseline,835
1,bigfour_continental,baseline,807
1,bigfour_continental,baseline,454
1,bigfour_continental,baseline,694
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,605
1,bigfour_continental,baseline,630
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,589
1,bigfour_continental,baseline,527
1,bigfour_continental,baseline,488
1,bigfour_continental,baseline,455
1,bigfour_continental,baseline,573
1,bigfour_continental,baseline,577
1,bigfour_continental,baseline,641
1,bigfour_continental,baseline,422
1,bigfour_continental,baseline,486
1,bigfour_continental,baseline,522
1,bigfour_continental,baseline,704
1,bigfour_continental,baseline,604
1,bigfour_continental,baseline,599
1,bigfour_continental,baseline,518
1,bigfour_continental,baseline,441
1,bigfour_continental,baseline,539
1,bigfour_continental,baseline,619
1,bigfour_continental,baseline,543
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,706
1,bigfour_continental,baseline,491
1,bigfour_continental,baseline,635
1,bigfour_continental,baseline,372
1,bigfour_continental,baseline,663
1,bigfour_continental,baseline,539
1,bigfour_continental,baseline,551
1,bigfour_continental,baseline,502
1,bigfour_continental,baseline,705
1,bigfour_continental,baseline,651
1,bigfour_continental,baseline,557
1,bigfour_continental,baseline,809
1,bigfour_continental,baseline,442
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,513
1,bigfour_continental,baseline,480
1,bigfour_continental,baseline,786
1,bigfour_continental,baseline,705
1,bigfour_continental,baseline,549
1,bigfour_continental,baseline,518
1,bigfour_continental,baseline,356
1,bigfour_continental,baseline,496
1,bigfour_continental,baseline,561
1,bigfour_continental,baseline,449
1,bigfour_continental,baseline,550
1,bigfour_continental,baseline,491
1,bigfour_continental,baseline,393
1,bigfour_continental,baseline,517
1,bigfour_continental,baseline,662
1,bigfour_continental,baseline,494
1,bigfour_continental,baseline,525
1,bigfour_continental,baseline,799
1,bigfour_continental,baseline,809
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,615
1,bigfour_continental,baseline,716
1,bigfour_continental,baseline,772
1,bigfour_continental,baseline,402
1,bigfour_continental,baseline,718
1,bigfour_continental,baseline,542
1,bigfour_continental,baseline,755
1,bigfour_continental,baseline,762
1,bigfour_continental,baseline,559
1,bigfour_continental,baseline,658
1,bigfour_continental,baseline,728
1,bigfour_continental,baseline,503
1,bigfour_continental,baseline,709
1,bigfour_continental,baseline,598
1,bigfour_continental,baseline,586
1,bigfour_continental,baseline,472
1,bigfour_continental,baseline,617
1,bigfour_continental,baseline,629
1,bigfour_continental,baseline,583
1,bigfour_continental,baseline,575
1,bigfour_continental,baseline,429
1,bigfour_continental,baseline,771
1,bigfour_continental,baseline,475
1,bigfour_continental,baseline,638
1,bigfour_continental,baseline,478
1,bigfour_continental,baseline,788
1,bigfour_continental,baseline,524
1,bigfour_continental,baseline,648
1,bigfour_continental,baseline,572
1,bigfour_continental,baseline,797
1,bigfour_continental,baseline,507
1,bigfour_continental,baseline,629
1,bigfour_continental,baseline,478
1,bigfour_continental,baseline,414
1,bigfour_continental,baseline,624
1,bigfour_continental,baseline,562
1,bigfour_continental,baseline,689
1,bigfour_continental,baseline,644
1,bigfour_continental,baseline,513
1,bigfour_continental,baseline,589
1,bigfour_continental,baseline,592
1,bigfour_continental,baseline,667
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,526
1,bigfour_continental,baseline,293
1,bigfour_continental,baseline,696
1,bigfour_continental,baseline,597
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,435
1,bigfour_continental,baseline,668
1,bigfour_continental,baseline,538
1,bigfour_continental,baseline,793
1,bigfour_continental,baseline,326
1,bigfour_continental,baseline,747
1,bigfour_continental,baseline,629
1,bigfour_continental,baseline,651
1,bigfour_continental,baseline,831
1,bigfour_continental,baseline,649
1,bigfour_continental,baseline,574
1,bigfour_continental,baseline,577
1,bigfour_continental,baseline,836
1,bigfour_continental,baseline,566
1,bigfour_continental,baseline,756
1,bigfour_continental,baseline,541
1,bigfour_continental,baseline,767
1,bigfour_continental,baseline,612
1,bigfour_continental,baseline,773
1,bigfour_continental,baseline,462
1,bigfour_continental,baseline,599
1,bigfour_continental,baseline,585
1,bigfour_continental,baseline,614
1,bigfour_continental,baseline,610
1,bigfour_continental,baseline,633
1,bigfour_continental,baseline,504
1,bigfour_continental,baseline,1017
1,bigfour_continental,baseline,646
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,484
1,bigfour_continental,baseline,429
1,bigfour_continental,baseline,587
1,bigfour_continental,baseline,536
1,bigfour_continental,baseline,524
1,bigfour_continental,baseline,513
1,bigfour_continental,baseline,546
1,bigfour_continental,baseline,549
1,bigfour_continental,baseline,589
1,bigfour_continental,baseline,641
1,bigfour_continental,baseline,771
1,bigfour_continental,baseline,635
1,bigfour_continental,baseline,450
1,bigfour_continental,baseline,411
1,bigfour_continental,baseline,499
1,bigfour_continental,baseline,654
1,bigfour_continental,baseline,814
1,bigfour_continental,baseline,646
1,bigfour_continental,baseline,706
1,bigfour_continental,baseline,373
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,607
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,386
1,bigfour_continental,baseline,638
1,bigfour_continental,baseline,757
1,bigfour_continental,baseline,551
1,bigfour_continental,baseline,473
1,bigfour_continental,baseline,566
1,bigfour_continental,baseline,648
1,bigfour_continental,baseline,545
1,bigfour_continental,baseline,965
1,bigfour_continental,baseline,595
1,bigfour_continental,baseline,764
1,bigfour_continental,baseline,828
1,bigfour_continental,baseline,807
1,bigfour_continental,baseline,603
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,793
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,483
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,412
1,bigfour_continental,baseline,406
1,bigfour_continental,baseline,898
1,bigfour_continental,baseline,563
1,bigfour_continental,baseline,650
1,bigfour_continental,baseline,848
1,bigfour_continental,baseline,527
1,bigfour_continental,baseline,732
1,bigfour_continental,baseline,600
1,bigfour_continental,baseline,631
1,bigfour_continental,baseline,723
1,bigfour_continental,baseline,462
1,bigfour_continental,baseline,682
1,bigfour_continental,baseline,590
1,bigfour_continental,baseline,463
1,bigfour_continental,baseline,470
1,bigfour_continental,baseline,371
1,bigfour_continental,baseline,405
1,bigfour_continental,baseline,656
1,bigfour_continental,baseline,500
1,bigfour_continental,baseline,464
1,bigfour_continental,baseline,377
1,bigfour_continental,baseline,745
1,bigfour_continental,baseline,763
1,bigfour_continental,baseline,844
1,bigfour_continental,baseline,605
1,bigfour_continental,baseline,472
1,bigfour_continental,baseline,611
1,bigfour_continental,baseline,564
1,bigfour_continental,baseline,460
1,bigfour_continental,baseline,363
1,bigfour_continental,baseline,820
1,bigfour_continental,baseline,731
1,bigfour_continental,baseline,496
1,bigfour_continental,baseline,563
1,bigfour_continental,baseline,714
1,bigfour_continental,baseline,685
1,bigfour_continental,baseline,768
1,bigfour_continental,baseline,753
1,bigfour_continental,baseline,606
1,bigfour_continental,baseline,705
1,bigfour_continental,baseline,518
1,bigfour_continental,baseline,511
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,747
1,bigfour_continental,baseline,592
1,bigfour_continental,baseline,919
1,bigfour_continental,baseline,411
1,bigfour_continental,baseline,400
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,617
1,bigfour_continental,baseline,456
1,bigfour_continental,baseline,720
1,bigfour_continental,baseline,520
1,bigfour_continental,baseline,659
1,bigfour_continental,baseline,799
1,bigfour_continental,baseline,716
1,bigfour_continental,baseline,499
1,bigfour_continental,baseline,580
1,bigfour_continental,baseline,564
1,bigfour_continental,baseline,513
1,bigfour_continental,baseline,865
1,bigfour_continental,baseline,327
1,bigfour_continental,baseline,485
1,bigfour_continental,baseline,678
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,382
1,bigfour_continental,baseline,495
1,bigfour_continental,baseline,350
1,bigfour_continental,baseline,383
1,bigfour_continental,baseline,628
1,bigfour_continental,baseline,541
1,bigfour_continental,baseline,487
1,bigfour_continental,baseline,704
1,bigfour_continental,baseline,536
1,bigfour_continental,baseline,545
1,bigfour_continental,baseline,499
1,bigfour_continental,baseline,884
1,bigfour_continental,baseline,650
1,bigfour_continental,baseline,760
1,bigfour_continental,baseline,623
1,bigfour_continental,baseline,630
1,bigfour_continental,baseline,873
1,bigfour_continental,baseline,700
1,bigfour_continental,baseline,737
1,bigfour_continental,baseline,736
1,bigfour_continental,baseline,541
1,bigfour_continental,baseline,550
1,bigfour_continental,baseline,530
1,bigfour_continental,baseline,727
1,bigfour_continental,baseline,607
1,bigfour_continental,baseline,561
1,bigfour_continental,baseline,498
1,bigfour_continental,baseline,583
1,bigfour_continental,baseline,718
1,bigfour_continental,baseline,709
1,bigfour_continental,baseline,526
1,bigfour_continental,baseline,403
1,bigfour_continental,baseline,810
1,bigfour_continental,baseline,535
1,bigfour_continental,baseline,679
1,bigfour_continental,baseline,785
1,bigfour_continental,baseline,533
1,bigfour_continental,baseline,780
1,bigfour_continental,baseline,625
1,bigfour_continental,baseline,443
1,bigfour_continental,baseline,453
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,534
1,bigfour_continental,baseline,821
1,bigfour_continental,baseline,403
1,bigfour_continental,baseline,442
1,bigfour_continental,baseline,600
1,bigfour_continental,baseline,717
1,bigfour_continental,baseline,456
1,bigfour_continental,baseline,691
1,bigfour_continental,baseline,614
1,bigfour_continental,baseline,540
1,bigfour_continental,baseline,686
1,bigfour_continental,baseline,740
1,bigfour_continental,baseline,722
1,bigfour_continental,baseline,395
1,bigfour_continental,baseline,709
1,bigfour_continental,baseline,664
1,bigfour_continental,baseline,815
1,bigfour_continental,baseline,515
1,bigfour_continental,baseline,617
1,bigfour_continental,baseline,332
1,bigfour_continental,baseline,570
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,526
1,bigfour_continental,baseline,720
1,bigfour_continental,baseline,390
1,bigfour_continental,baseline,614
1,bigfour_continental,baseline,874
1,bigfour_continental,baseline,476
1,bigfour_continental,baseline,684
1,bigfour_continental,baseline,769
1,bigfour_continental,baseline,519
1,bigfour_continental,baseline,696
1,bigfour_continental,baseline,603
1,bigfour_continental,baseline,476
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,673
1,bigfour_continental,baseline,561
1,bigfour_continental,baseline,826
1,bigfour_continental,baseline,610
1,bigfour_continental,baseline,735
1,bigfour_continental,baseline,498
1,bigfour_continental,baseline,482
1,bigfour_continental,baseline,604
1,bigfour_continental,baseline,520
1,bigfour_continental,baseline,644
1,bigfour_continental,baseline,540
1,bigfour_continental,baseline,608
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,822
1,bigfour_continental,baseline,584
1,bigfour_continental,baseline,547
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,758
1,bigfour_continental,baseline,465
1,bigfour_continental,baseline,693
1,bigfour_continental,baseline,624
1,bigfour_continental,baseline,497
1,bigfour_continental,baseline,520
1,bigfour_continental,baseline,925
1,bigfour_continental,baseline,687
1,bigfour_continental,baseline,453
1,bigfour_continental,baseline,645
