quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,65_3,166,0,0,0,0,0,0,0,0,0,0
good,65_3,167,0,0,0,0,0,0,0,0,0,0
good,65_3,168,0,0,0,0,0,0,0,0,0,0
good,65_3,169,0,0,0,0,0,0,0,0,0,0
good,65_3,170,0,0,0,0,0,0,0,0,0,0
good,65_3,171,1,0,0,0,0,0,0,0,0,0
good,65_3,172,0,0,0,0,0,0,0,0,0,0
good,65_3,173,0,0,0,0,0,0,0,0,0,0
good,65_3,174,0,0,0,0,0,0,0,0,0,0
good,65_3,175,0,0,0,0,0,0,0,0,0,0
good,65_3,176,0,0,0,0,0,0,0,0,0,0
good,65_3,177,0,0,0,0,0,0,0,0,0,0
good,65_3,178,0,1,0,0,0,0,0,0,1,0
good,65_3,179,0,0,0,0,0,0,0,0,0,0
good,65_3,180,0,0,0,0,0,0,0,0,0,0
good,65_3,181,0,0,0,0,0,0,0,0,0,0
good,65_3,182,0,0,0,0,0,0,0,0,0,0
good,65_3,183,0,0,0,0,0,0,0,0,0,0
good,65_3,184,0,0,0,0,0,0,0,0,0,0
good,65_3,185,0,0,0,0,0,0,0,0,0,0
good,65_3,186,0,0,0,0,0,0,0,0,0,0
good,65_3,187,0,0,0,0,0,0,0,0,0,0
good,65_3,188,0,0,0,0,0,0,0,0,0,0
good,65_3,189,0,0,0,0,0,0,0,0,0,0
good,65_3,190,0,0,0,0,0,0,0,0,0,0
good,65_3,191,0,0,0,0,0,0,0,0,0,1
good,65_3,192,0,0,0,0,0,0,0,0,0,0
good,65_3,193,0,0,0,0,0,0,0,0,0,0
good,65_3,194,0,0,0,0,0,0,0,0,0,0
good,65_3,195,0,0,0,0,0,0,0,0,0,0
good,65_3,196,0,0,0,0,0,0,0,0,0,0
good,65_3,197,0,0,0,0,0,0,0,0,0,0
good,65_3,198,0,0,0,0,0,0,0,0,0,0
good,65_3,199,0,0,0,0,0,0,0,0,0,0
good,194_2,0,0,0,0,0,1,0,1,0,0,0
good,194_2,1,0,0,0,0,0,0,0,0,0,0
good,194_2,2,0,0,0,0,0,0,0,0,0,0
good,194_2,3,0,0,0,0,0,0,0,0,0,0
good,194_2,4,0,0,0,0,0,0,0,0,0,0
good,194_2,5,0,0,0,0,0,0,0,0,0,0
good,194_2,6,0,0,0,0,0,0,0,0,0,0
good,194_2,7,0,0,0,0,0,0,0,0,0,0
good,194_2,8,0,0,0,0,1,0,0,0,0,0
good,194_2,9,0,0,0,0,0,0,0,0,0,0
good,194_2,10,0,0,0,0,0,0,0,0,0,0
good,194_2,11,0,0,0,0,0,0,0,0,0,0
good,194_2,12,0,0,0,0,0,0,0,0,0,0
good,194_2,13,0,0,0,0,1,0,0,0,0,0
good,194_2,14,0,0,0,0,1,0,0,1,0,0
good,194_2,15,0,0,0,0,0,0,0,0,0,0
good,194_2,16,0,0,0,0,0,0,0,0,0,0
good,194_2,17,0,0,0,0,0,0,0,0,0,0
good,194_2,18,0,0,0,0,0,0,0,0,0,0
good,194_2,19,0,0,0,0,0,0,0,0,0,0
good,194_2,20,0,0,0,0,0,0,0,0,0,0
good,194_2,21,0,0,0,0,0,0,0,0,0,0
good,194_2,22,0,0,0,0,0,0,1,0,0,0
good,194_2,23,0,0,0,0,0,0,0,0,0,0
good,194_2,24,0,0,0,0,0,0,0,0,0,0
good,194_2,25,0,0,0,0,0,0,0,0,0,1
good,194_2,26,0,0,0,0,0,0,0,0,0,0
good,194_2,27,0,0,0,0,1,0,0,0,0,0
good,194_2,28,0,0,0,0,0,0,0,0,0,0
good,194_2,29,0,0,0,0,0,0,0,0,0,0
good,194_2,30,0,0,0,0,0,0,0,0,0,0
good,194_2,31,0,0,0,0,0,0,0,0,0,0
good,194_2,32,0,0,0,0,0,0,0,0,0,0
good,194_2,33,0,0,0,0,0,0,0,0,0,0
good,194_2,34,0,0,0,0,0,0,0,0,0,0
good,194_2,35,0,0,0,0,0,0,0,0,0,1
good,194_2,36,0,0,0,0,0,0,0,0,0,0
good,194_2,37,0,0,0,0,0,0,0,0,0,0
good,194_2,38,0,0,0,0,0,0,0,0,0,0
good,194_2,39,0,0,0,0,0,0,0,0,0,0
good,194_2,40,0,0,0,0,0,0,0,1,0,0
good,194_2,41,0,0,0,0,0,0,0,0,0,0
good,194_2,42,0,0,0,0,0,0,0,0,0,0
good,194_2,43,0,0,0,0,0,0,0,0,0,0
good,194_2,44,0,0,0,0,0,0,0,0,0,0
good,194_2,45,0,0,0,0,0,0,0,0,0,0
good,194_2,46,0,0,0,0,0,0,0,0,0,0
good,194_2,47,0,0,0,0,0,0,0,0,0,0
good,194_2,48,0,0,0,0,0,0,1,0,0,0
good,194_2,49,0,0,0,0,0,0,1,1,0,0
good,194_2,50,0,0,0,0,0,0,0,0,0,0
good,194_2,51,0,0,0,0,0,0,1,0,0,0
good,194_2,52,0,0,0,0,0,0,0,0,0,0
good,194_2,53,0,0,0,0,0,0,0,0,0,0
good,194_2,54,0,0,0,0,0,0,0,0,0,0
good,194_2,55,0,0,0,0,0,0,0,0,0,0
good,194_2,56,0,0,0,0,0,0,0,0,0,0
good,194_2,57,0,0,0,0,0,0,0,0,0,0
good,194_2,58,0,0,0,0,0,0,0,0,0,0
good,194_2,59,0,0,0,0,0,0,0,0,0,0
good,194_2,60,0,0,0,0,0,0,0,0,0,0
good,194_2,61,0,0,0,0,0,0,0,0,0,0
