profile_id,city,scenario,bin_lo,bin_hi,count,density,mean_loss,p99_brut,p99_theta,tail_ratio,output_mean,crisis_pct
P3,Paris,G2,1400,1500,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1500,1600,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1600,1700,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1700,1800,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1800,1900,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P4,Brussels,baseline,0,100,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,100,200,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,200,300,1,1e-06,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,300,400,5,5e-06,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,400,500,85,8.5e-05,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,500,600,539,0.000539,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,600,700,1610,0.00161,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,700,800,2794,0.002794,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,800,900,2666,0.002666,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,900,1000,1565,0.001565,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1000,1100,587,0.000587,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1100,1200,130,0.00013,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1200,1300,17,1.7e-05,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1300,1400,1,1e-06,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1400,1500,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1500,1600,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1600,1700,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1700,1800,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,baseline,1800,1900,0,0.0,801.88,1121.0,1121.0,1.398,1198.12,0.08
P4,Brussels,G0,0,100,8,8e-06,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,100,200,1489,0.001489,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,200,300,802,0.000802,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,300,400,1844,0.001844,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,400,500,1056,0.001056,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,500,600,847,0.000847,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,600,700,1202,0.001202,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,700,800,396,0.000396,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,800,900,603,0.000603,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,900,1000,443,0.000443,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1000,1100,154,0.000154,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1100,1200,220,0.00022,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1200,1300,78,7.8e-05,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1300,1400,55,5.5e-05,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1400,1500,75,7.5e-05,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1500,1600,60,6e-05,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1600,1700,119,0.000119,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1700,1800,431,0.000431,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
P4,Brussels,G0,1800,1900,118,0.000118,597.1862,1803.02,2253.775,3.0192,1753.5172,0.08
